kms_driven,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
68000,13.68,2393.0,2393.0,14751.0,14.25
52565,17.8,1198.0,1198.0,867.0,4.17
72000,18.0,1969.0,1969.0,190.0,29.55
70000,14.75,2967.0,2967.0,245.0,40.0
73074,18.9,1197.0,1197.0,8186.0,4.93
45000,16.35,1956.0,1956.0,16767.0,13.75
90995,1197.0,82.0,82.0,114.0,3.35
30000,23.01,999.0,999.0,67.0,3.35
80000,1498.0,986.0,986.0,200.0,4.75
42346,20.51,998.0,998.0,6704.0,3.01
31120,18.0,1497.0,1497.0,1176.0,11.5
100000,22.32,1582.0,1582.0,12632.0,3.95
33500,17.8,1496.0,1496.0,1055.0,7.5
64000,1197.0,82.0,82.0,114.0,4.25
110000,1497.0,1186600.0,1186600.0,1464800.0,3.5
4000,11.86,2998.0,2998.0,33525.0,1.25
48936,19.0,998.0,998.0,661.0,2.34
23000,10.2,2360.0,2360.0,16494.0,19.5
61814,21.4,1197.0,1197.0,831.0,5.27
62000,13.38,2993.0,2993.0,26150.0,47.98
40000,17.21,1197.0,1197.0,1035.0,10.0
30200,18.27,998.0,998.0,11835.0,9.25
34123,14.67,1798.0,1798.0,17746.0,30.5
16000,2996.0,38487.0,38487.0,520.0,83.0
28645,24.3,1248.0,1248.0,885.0,7.71
48933,17.11,1968.0,1968.0,17433.0,15.75
60970,13.0,1591.0,1591.0,1213.0,9.4
50000,13.0,1591.0,1591.0,1213.0,7.75
56000,14.24,2755.0,2755.0,1745.0,27.5
40427,18.9,1197.0,1197.0,8186.0,5.36
54213,20.73,1373.0,1373.0,911.0,7.9
20000,1996.0,16762.0,16762.0,420.0,32.0
85000,14.53,1798.0,1798.0,1381.0,2.75
91000,13.68,2393.0,2393.0,14751.0,12.0
47000,18.9,1197.0,1197.0,82.0,3.85
54630,18.0,1497.0,1497.0,1173.0,6.86
72222,14.75,2967.0,2967.0,245.0,34.9
41116,18.0,1497.0,1497.0,1176.0,10.39
4000,12.65,1997.0,1997.0,29636.0,1.1
20000,9.43,1999.0,1999.0,2374.0,69.0
29502,19.33,1199.0,1199.0,8683.0,7.56
132501,15.97,2993.0,2993.0,258.0,12.21
35000,13.0,2143.0,2143.0,204.0,23.9
56458,25.5,1498.0,1498.0,986.0,5.71
50000,19.12,1373.0,1373.0,911.0,7.25
61657,21.4,1197.0,1197.0,831.0,5.93
50000,18.0,1497.0,1497.0,1173.0,6.5
67000,20.73,1373.0,1373.0,911.0,6.25
104948,18.6,1197.0,1197.0,8183.0,4.61
20000,9.43,1999.0,1999.0,2374.0,52.0
10000,17.0,1497.0,1497.0,11342.0,15.21
154000,11.74,2987.0,2987.0,2548.0,17.5
46000,19.16,2494.0,2494.0,1577.0,20.5
90000,1497.0,1173.0,1173.0,145.0,5.65
47000,18.9,1197.0,1197.0,82.0,3.85
54630,18.0,1497.0,1497.0,1173.0,6.86
72222,14.75,2967.0,2967.0,245.0,34.9
41116,18.0,1497.0,1497.0,1176.0,10.39
4000,12.65,1997.0,1997.0,29636.0,1.1
20000,9.43,1999.0,1999.0,2374.0,69.0
29502,19.33,1199.0,1199.0,8683.0,7.56
132501,15.97,2993.0,2993.0,258.0,12.21
35000,13.0,2143.0,2143.0,204.0,23.9
56458,25.5,1498.0,1498.0,986.0,5.71
50000,19.12,1373.0,1373.0,911.0,7.25
61657,21.4,1197.0,1197.0,831.0,5.93
50000,18.0,1497.0,1497.0,1173.0,6.5
67000,20.73,1373.0,1373.0,911.0,6.25
104948,18.6,1197.0,1197.0,8183.0,4.61
20000,9.43,1999.0,1999.0,2374.0,52.0
10000,17.0,1497.0,1497.0,11342.0,15.21
154000,11.74,2987.0,2987.0,2548.0,17.5
46000,19.16,2494.0,2494.0,1577.0,20.5
90000,1497.0,1173.0,1173.0,145.0,5.65
39000,20.38,1968.0,1968.0,143.0,22.5
64727,13.0,1591.0,1591.0,1213.0,9.87
65000,21.19,1396.0,1396.0,8873.0,6.5
44636,19.4,1198.0,1198.0,868.0,2.63
100000,12.55,2982.0,2982.0,1685.0,15.5
23616,12.6,1950.0,1950.0,194.0,43.9
107682,19.1,1197.0,1197.0,82.0,3.39
9500,1991.0,30173.0,30173.0,400.0,56.5
47500,12.81,1997.0,1997.0,23736.0,43.0
101914,16.47,1198.0,1198.0,739.0,2.59
620,1197.0,8180.0,8180.0,1138.0,6.65
45507,21.01,1197.0,1197.0,8180.0,6.49
58000,16.77,2967.0,2967.0,24674.0,29.75
7000,2925.0,28161.0,28161.0,600.0,1.55
74095,16.5,1499.0,1499.0,110.0,5.37
8450,19.0,5.0,5.0,14239.891542930924,71.9
40000,7.81,4663.0,4663.0,459.0,1.09
77684,796.0,463.0,463.0,62.0,1.54
22900,13.47,1984.0,1984.0,24559.0,54.8
10000,147.51,320.0,320.0,17.0,42.0
19000,2925.0,3260000000000.0,3260000000000.0,700.0,1.15
74846,18.9,1197.0,1197.0,82.0,3.1
4500,22.35,1197.0,1197.0,8850.0,7.55
97722,18.5,1197.0,1197.0,805200.0,2.27
9000,12.1,1998.0,1998.0,26530.0,70.0
19000,8.9,2999.0,2999.0,435.0,78.99
79683,18.0,1497.0,1497.0,1173.0,6.35
26000,22.61,1197.0,1197.0,8850.0,7.95
70000,20.68,1995.0,1995.0,188.0,15.5
85540,16.5,1353.0,1353.0,13808.0,13.86
10000,1197.0,12873.0,12873.0,230.0,11.7
50170,21.01,1197.0,1197.0,8180.0,6.87
44000,13.38,2993.0,2993.0,26150.0,98.5
4000,12.6,1950.0,1950.0,194.0,56.75
37163,998.0,671.0,671.0,90.0,3.18
21003,1451.0,141.0,141.0,250.0,18.75
49000,16.55,1995.0,1995.0,1877.0,39.0
89057,16.98,998.0,998.0,661.0,2.26
12000,11.9,1950.0,1950.0,20115.0,44.5
11000,18.76,1462.0,1462.0,10326.0,9.99
19000,2925.0,3260000000000.0,3260000000000.0,700.0,1.15
74846,18.9,1197.0,1197.0,82.0,3.1
4500,22.35,1197.0,1197.0,8850.0,7.55
